"","latitude","longitude","host","src","proto","count"
"1",-33.8615,151.2055,"groucho-sydney",922493247,"ICMP",370
"2",-33.8615,151.2055,"groucho-sydney",922493247,"ICMP",370
"3",-33.8615,151.2055,"groucho-sydney",922493247,"TCP",370
"4",-33.8615,151.2055,"groucho-sydney",922493247,"TCP",370
"5",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"6",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"7",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"8",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"9",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"10",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"11",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"12",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"13",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"14",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"15",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"16",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"17",-23.4733,-46.6658,"groucho-sa",2974261994,"ICMP",362
"18",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"19",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"20",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"21",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"22",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"23",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"24",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"25",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"26",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"27",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"28",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"29",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"30",-23.4733,-46.6658,"groucho-sa",2974261994,"TCP",362
"31",1.3667,103.8,"groucho-singapore",780788312,"ICMP",358
"32",1.3667,103.8,"groucho-singapore",780788312,"ICMP",358
"33",1.3667,103.8,"groucho-singapore",780788312,"TCP",358
"34",1.3667,103.8,"groucho-singapore",780788312,"TCP",358
"35",1.3667,103.8,"groucho-singapore",1921861685,"TCP",235
"36",16,106,"groucho-eu",3076197948,"TCP",1067
"37",16,106,"groucho-norcal",3076197948,"TCP",1011
"38",16,106,"groucho-sa",3076197948,"TCP",1171
"39",16,106,"groucho-sydney",3076197948,"TCP",351
"40",16,106,"groucho-us-east",3076197948,"TCP",1051
"41",16,106,"groucho-us-east",3076197948,"TCP",1051
"42",16,106,"zeppo-norcal",3076197948,"TCP",1012
"43",18.975,72.8258,"groucho-tokyo",3705737518,"UDP",2605
"44",25.0389,102.7183,"groucho-singapore",1962432709,"TCP",221
"45",28.1792,113.1136,"groucho-singapore",3740323306,"TCP",614
"46",28.3031,-82.7048,"groucho-oregon",1627302658,"TCP",681
"47",28.3031,-82.7048,"groucho-sa",1627302658,"TCP",666
"48",28.3031,-82.7048,"groucho-singapore",1627302658,"TCP",1096
"49",28.3031,-82.7048,"groucho-sydney",1627302658,"TCP",404
"50",28.3031,-82.7048,"groucho-tokyo",1627302658,"TCP",1994
"51",28.55,115.9333,"groucho-singapore",993345851,"TCP",574
"52",28.55,115.9333,"groucho-singapore",1964368845,"TCP",401
"53",30.2936,120.1614,"groucho-singapore",2061539001,"TCP",342
"54",31.0456,121.3997,"groucho-oregon",2085475537,"UDP",830
"55",31.8639,117.2808,"groucho-eu",1017974360,"TCP",851
"56",31.8639,117.2808,"groucho-singapore",1035975750,"TCP",919
"57",31.8639,117.2808,"groucho-singapore",1035976650,"TCP",222
"58",31.8639,117.2808,"groucho-tokyo",1017974347,"TCP",688
"59",31.8639,117.2808,"groucho-tokyo",1017974357,"TCP",1051
"60",31.8639,117.2808,"groucho-tokyo",1017974357,"TCP",1051
"61",32,53,"groucho-singapore",45677366,"UDP",566
"62",32.0617,118.7778,"groucho-oregon",987577503,"TCP",359
"63",32.0617,118.7778,"groucho-oregon",987577514,"TCP",206
"64",32.0617,118.7778,"groucho-oregon",1033956371,"TCP",226
"65",32.0617,118.7778,"groucho-oregon",3736735723,"TCP",217
"66",32.0617,118.7778,"groucho-sa",3736745009,"TCP",198
"67",32.0617,118.7778,"groucho-sa",3736745009,"TCP",198
"68",32.0617,118.7778,"groucho-sa",3736745009,"TCP",198
"69",32.0617,118.7778,"groucho-singapore",1032067941,"TCP",284
"70",32.0617,118.7778,"groucho-singapore",1033062000,"TCP",320
